Word,Company,Sector
ISRG,ISRG,Health Care
IVZ,IVZ,Financials
IPGP,IPGP,Information Technology
IQV,IQV,Health Care
IRM,IRM,Real Estate
JBHT,JBHT,Industrials
JEC,JEC,Industrials
SJM,SJM,Consumer Staples
JNJ,JNJ,Health Care
JCI,JCI,Industrials
JPM,JPM,Financials
JNPR,JNPR,Information Technology
KSU,KSU,Industrials
K,K,Consumer Staples
KEY,KEY,Financials
KMB,KMB,Consumer Staples
KIM,KIM,Real Estate
KMI,KMI,Energy
KLAC,KLAC,Information Technology
KSS,KSS,Consumer Discretionary
KHC,KHC,Consumer Staples
KR,KR,Consumer Staples
LB,LB,Consumer Discretionary
LLL,LLL,Industrials
LH,LH,Health Care
LRCX,LRCX,Information Technology
LEG,LEG,Consumer Discretionary
LEN,LEN,Consumer Discretionary
LUK,LUK,Financials
LLY,LLY,Health Care
LNC,LNC,Financials
LKQ,LKQ,Consumer Discretionary
LMT,LMT,Industrials
L,L,Financials
LOW,LOW,Consumer Discretionary
LYB,LYB,Materials
MTB,MTB,Financials
MAC,MAC,Real Estate
M,M,Consumer Discretionary
MRO,MRO,Energy
MPC,MPC,Energy
MAR,MAR,Consumer Discretionary
MMC,MMC,Financials
MLM,MLM,Materials
MAS,MAS,Industrials
MA,MA,Information Technology
MAT,MAT,Consumer Discretionary
MKC,MKC,Consumer Staples
MCD,MCD,Consumer Discretionary
MCK,MCK,Health Care
MDT,MDT,Health Care
MRK,MRK,Health Care
MET,MET,Financials
MTD,MTD,Health Care
MGM,MGM,Consumer Discretionary
KORS,KORS,Consumer Discretionary
MCHP,MCHP,Information Technology
MU,MU,Information Technology
MSFT,MSFT,Information Technology
MAA,MAA,Real Estate
MHK,MHK,Consumer Discretionary
TAP,TAP,Consumer Staples
MDLZ,MDLZ,Consumer Staples
MON,MON,Materials
MNST,MNST,Consumer Staples
MCO,MCO,Financials
MS,MS,Financials
MSI,MSI,Information Technology
MYL,MYL,Health Care
NDAQ,NDAQ,Financials
NOV,NOV,Energy
NAVI,NAVI,Financials
NKTR,NKTR,Health Care
NTAP,NTAP,Information Technology
NFLX,NFLX,Information Technology
NWL,NWL,Consumer Discretionary
NFX,NFX,Energy
NEM,NEM,Materials
NWSA,NWSA,Consumer Discretionary
NWS,NWS,Consumer Discretionary
NEE,NEE,Utilities
NLSN,NLSN,Industrials
NKE,NKE,Consumer Discretionary
NI,NI,Utilities
NBL,NBL,Energy
JWN,JWN,Consumer Discretionary
NSC,NSC,Industrials
NTRS,NTRS,Financials
NOC,NOC,Industrials
NCLH,NCLH,Consumer Discretionary
NRG,NRG,Utilities
NUE,NUE,Materials
NVDA,NVDA,Information Technology
ORLY,ORLY,Consumer Discretionary
OXY,OXY,Energy
OMC,OMC,Consumer Discretionary
OKE,OKE,Energy
ORCL,ORCL,Information Technology
PCAR,PCAR,Industrials
PKG,PKG,Materials
PH,PH,Industrials
PAYX,PAYX,Information Technology
PYPL,PYPL,Information Technology
PNR,PNR,Industrials
PBCT,PBCT,Financials
PEP,PEP,Consumer Staples
PKI,PKI,Health Care
PRGO,PRGO,Health Care
PFE,PFE,Health Care
PCG,PCG,Utilities
PM,PM,Consumer Staples
PSX,PSX,Energy
PNW,PNW,Utilities
PXD,PXD,Energy
PNC,PNC,Financials
RL,RL,Consumer Discretionary
PPG,PPG,Materials
PPL,PPL,Utilities
PX,PX,Materials
PFG,PFG,Financials
PG,PG,Consumer Staples
PGR,PGR,Financials
PLD,PLD,Real Estate
PRU,PRU,Financials
PEG,PEG,Utilities
PSA,PSA,Real Estate
PHM,PHM,Consumer Discretionary
PVH,PVH,Consumer Discretionary
QRVO,QRVO,Information Technology
QCOM,QCOM,Information Technology
PWR,PWR,Industrials
DGX,DGX,Health Care
RRC,RRC,Energy
RJF,RJF,Financials
RTN,RTN,Industrials
O,O,Real Estate
RHT,RHT,Information Technology
REG,REG,Real Estate
REGN,REGN,Health Care
RF,RF,Financials
RSG,RSG,Industrials
RMD,RMD,Health Care
RHI,RHI,Industrials
ROK,ROK,Industrials
COL,COL,Industrials
ROP,ROP,Industrials
ROST,ROST,Consumer Discretionary
RCL,RCL,Consumer Discretionary
SPGI,SPGI,Financials
CRM,CRM,Information Technology
SBAC,SBAC,Real Estate
SCG,SCG,Utilities
SLB,SLB,Energy
STX,STX,Information Technology
SEE,SEE,Materials
SRE,SRE,Utilities
SHW,SHW,Materials
SPG,SPG,Real Estate
SWKS,SWKS,Information Technology
SLG,SLG,Real Estate
SNA,SNA,Consumer Discretionary
SO,SO,Utilities
LUV,LUV,Industrials
SWK,SWK,Consumer Discretionary
SBUX,SBUX,Consumer Discretionary
STT,STT,Financials
SRCL,SRCL,Industrials
SYK,SYK,Health Care
STI,STI,Financials
SIVB,SIVB,Financials
SYMC,SYMC,Information Technology
SYF,SYF,Financials
SNPS,SNPS,Information Technology
SYY,SYY,Consumer Staples
TROW,TROW,Financials
TTWO,TTWO,Information Technology
TPR,TPR,Consumer Discretionary
TGT,TGT,Consumer Discretionary
TEL,TEL,Information Technology
FTI,FTI,Energy
TXN,TXN,Information Technology
TXT,TXT,Industrials
BK,BK,Financials
CLX,CLX,Consumer Staples
COO,COO,Health Care
HSY,HSY,Consumer Staples
MOS,MOS,Materials
TRV,TRV,Financials
DIS,DIS,Consumer Discretionary
TMO,TMO,Health Care
TIF,TIF,Consumer Discretionary
TWX,TWX,Consumer Discretionary
TJX,TJX,Consumer Discretionary
TMK,TMK,Financials
TSS,TSS,Information Technology
TSCO,TSCO,Consumer Discretionary
TDG,TDG,Industrials
TRIP,TRIP,Consumer Discretionary
FOXA,FOXA,Consumer Discretionary
FOX,FOX,Consumer Discretionary
TSN,TSN,Consumer Staples
USB,USB,Financials
UDR,UDR,Real Estate
ULTA,ULTA,Consumer Discretionary
UAA,UAA,Consumer Discretionary
UA,UA,Consumer Discretionary
UNP,UNP,Industrials
UAL,UAL,Industrials
UNH,UNH,Health Care
UPS,UPS,Industrials
URI,URI,Industrials
UTX,UTX,Industrials
UHS,UHS,Health Care
UNM,UNM,Financials
VFC,VFC,Consumer Discretionary
VLO,VLO,Energy
VAR,VAR,Health Care
VTR,VTR,Real Estate
VRSN,VRSN,Information Technology
VRSK,VRSK,Industrials
VZ,VZ,Telecommunication Services
VRTX,VRTX,Health Care
VIAB,VIAB,Consumer Discretionary
V,V,Information Technology
VNO,VNO,Real Estate
VMC,VMC,Materials
WMT,WMT,Consumer Staples
WBA,WBA,Consumer Staples
WM,WM,Industrials
WAT,WAT,Health Care
WEC,WEC,Utilities
WFC,WFC,Financials
WELL,WELL,Real Estate
WDC,WDC,Information Technology
WU,WU,Information Technology
WRK,WRK,Materials
WY,WY,Real Estate
WHR,WHR,Consumer Discretionary
WMB,WMB,Energy
WLTW,WLTW,Financials
WYN,WYN,Consumer Discretionary
WYNN,WYNN,Consumer Discretionary
XEL,XEL,Utilities
XRX,XRX,Information Technology
XLNX,XLNX,Information Technology
XL,XL,Financials
XYL,XYL,Industrials
YUM,YUM,Consumer Discretionary
ZBH,ZBH,Health Care
ZION,ZION,Financials
ZTS,ZTS,Health Care
3M Company,MMM,Industrials
A.O. Smith Corp,AOS,Industrials
Abbott Laboratories,ABT,Health Care
AbbVie Inc.,ABBV,Health Care
Accenture plc,ACN,Information Technology
Activision Blizzard,ATVI,Information Technology
Acuity Brands Inc,AYI,Industrials
Adobe Systems Inc,ADBE,Information Technology
Advance Auto Parts,AAP,Consumer Discretionary
Advanced Micro Devices Inc,AMD,Information Technology
AES Corp,AES,Utilities
Aetna Inc,AET,Health Care
Affiliated Managers Group Inc,AMG,Financials
AFLAC Inc,AFL,Financials
Agilent Technologies Inc,A,Health Care
Air Products & Chemicals Inc,APD,Materials
Akamai Technologies Inc,AKAM,Information Technology
Alaska Air Group Inc,ALK,Industrials
Albemarle Corp,ALB,Materials
Alexandria Real Estate Equities Inc,ARE,Real Estate
Alexion Pharmaceuticals,ALXN,Health Care
Align Technology,ALGN,Health Care
Allegion,ALLE,Industrials
Allergan, Plc,AGN,Health Care
Alliance Data Systems,ADS,Information Technology
Alliant Energy Corp,LNT,Utilities
Allstate Corp,ALL,Financials
Alphabet Inc Class A,GOOGL,Information Technology
Alphabet Inc Class C,GOOG,Information Technology
Altria Group Inc,MO,Consumer Staples
Amazon.com Inc.,AMZN,Consumer Discretionary
Ameren Corp,AEE,Utilities
American Airlines Group,AAL,Industrials
American Electric Power,AEP,Utilities
American Express Co,AXP,Financials
American International Group, Inc.,AIG,Financials
American Tower Corp A,AMT,Real Estate
American Water Works Company Inc,AWK,Utilities
Ameriprise Financial,AMP,Financials
AmerisourceBergen Corp,ABC,Health Care
AMETEK Inc.,AME,Industrials
Amgen Inc.,AMGN,Health Care
Amphenol Corp,APH,Information Technology
Anadarko Petroleum Corp,APC,Energy
Analog Devices, Inc.,ADI,Information Technology
Andeavor,ANDV,Energy
ANSYS,ANSS,Information Technology
Anthem Inc.,ANTM,Health Care
Aon plc,AON,Financials
Apache Corporation,APA,Energy
Apartment Investment & Management,AIV,Real Estate
Apple Inc.,AAPL,Information Technology
Applied Materials Inc.,AMAT,Information Technology
Aptiv Plc,APTV,Consumer Discretionary
Archer-Daniels-Midland Co,ADM,Consumer Staples
Arconic Inc.,ARNC,Industrials
Arthur J. Gallagher & Co.,AJG,Financials
Assurant Inc.,AIZ,Financials
AT&T Inc.,T,Telecommunication Services
Autodesk Inc.,ADSK,Information Technology
Automatic Data Processing,ADP,Information Technology
AutoZone Inc,AZO,Consumer Discretionary
AvalonBay Communities, Inc.,AVB,Real Estate
Avery Dennison Corp,AVY,Materials
Baker Hughes, a GE Company,BHGE,Energy
Ball Corp,BLL,Materials
Bank of America Corp,BAC,Financials
Baxter International Inc.,BAX,Health Care
BB&T Corporation,BBT,Financials
Becton Dickinson,BDX,Health Care
Berkshire Hathaway,BRK.B,Financials
Best Buy Co. Inc.,BBY,Consumer Discretionary
Biogen Inc.,BIIB,Health Care
BlackRock,BLK,Financials
Block H&R,HRB,Financials
Boeing Company,BA,Industrials
Booking Holdings Inc,BKNG,Consumer Discretionary
BorgWarner,BWA,Consumer Discretionary
Boston Properties,BXP,Real Estate
Boston Scientific,BSX,Health Care
Brighthouse Financial Inc,BHF,Financials
Bristol-Myers Squibb,BMY,Health Care
Broadcom,AVGO,Information Technology
Brown-Forman Corp.,BF.B,Consumer Staples
C. H. Robinson Worldwide,CHRW,Industrials
CA, Inc.,CA,Information Technology
Cabot Oil & Gas,COG,Energy
Cadence Design Systems,CDNS,Information Technology
Campbell Soup,CPB,Consumer Staples
Capital One Financial,COF,Financials
Cardinal Health Inc.,CAH,Health Care
Carmax Inc,KMX,Consumer Discretionary
Carnival Corp.,CCL,Consumer Discretionary
Caterpillar Inc.,CAT,Industrials
Cboe Global Markets,CBOE,Financials
CBRE Group,CBRE,Real Estate
CBS Corp.,CBS,Consumer Discretionary
Celgene Corp.,CELG,Health Care
Centene Corporation,CNC,Health Care
CenterPoint Energy,CNP,Utilities
CenturyLink Inc,CTL,Telecommunication Services
Cerner,CERN,Health Care
CF Industries Holdings Inc,CF,Materials
Charles Schwab Corporation,SCHW,Financials
Charter Communications,CHTR,Consumer Discretionary
Chevron Corp.,CVX,Energy
Chipotle Mexican Grill,CMG,Consumer Discretionary
Chubb Limited,CB,Financials
Church & Dwight,CHD,Consumer Staples
CIGNA Corp.,CI,Health Care
Cimarex Energy,XEC,Energy
Cincinnati Financial,CINF,Financials
Cintas Corporation,CTAS,Industrials
Cisco Systems,CSCO,Information Technology
Citigroup Inc.,C,Financials
Citizens Financial Group,CFG,Financials
Citrix Systems,CTXS,Information Technology
CME Group Inc.,CME,Financials
CMS Energy,CMS,Utilities
Coca-Cola Company (The),KO,Consumer Staples
Cognizant Technology Solutions,CTSH,Information Technology
Colgate-Palmolive,CL,Consumer Staples
Comcast Corp.,CMCSA,Consumer Discretionary
Comerica Inc.,CMA,Financials
Conagra Brands,CAG,Consumer Staples
Concho Resources,CXO,Energy
ConocoPhillips,COP,Energy
Consolidated Edison,ED,Utilities
Constellation Brands,STZ,Consumer Staples
Corning Inc.,GLW,Information Technology
Costco Wholesale Corp.,COST,Consumer Staples
Coty, Inc,COTY,Consumer Staples
Crown Castle International Corp.,CCI,Real Estate
CSRA Inc.,CSRA,Information Technology
CSX Corp.,CSX,Industrials
Cummins Inc.,CMI,Industrials
CVS Health,CVS,Consumer Staples
D. R. Horton,DHI,Consumer Discretionary
Danaher Corp.,DHR,Health Care
Darden Restaurants,DRI,Consumer Discretionary
DaVita Inc.,DVA,Health Care
Deere & Co.,DE,Industrials
Delta Air Lines Inc.,DAL,Industrials
Dentsply Sirona,XRAY,Health Care
Devon Energy Corp.,DVN,Energy
Digital Realty Trust Inc,DLR,Real Estate
Discover Financial Services,DFS,Financials
Discovery Inc. Class A,DISCA,Consumer Discretionary
Discovery Inc. Class C,DISCK,Consumer Discretionary
Dish Network,DISH,Consumer Discretionary
Dollar General,DG,Consumer Discretionary
Dollar Tree,DLTR,Consumer Discretionary
Dominion Energy,D,Utilities
Dover Corp.,DOV,Industrials
DowDuPont,DWDP,Materials
Dr Pepper Snapple Group,DPS,Consumer Staples
DTE Energy Co.,DTE,Utilities
Duke Energy,DUK,Utilities
Duke Realty Corp,DRE,Real Estate
DXC Technology,DXC,Information Technology
E*Trade,ETFC,Financials
Eastman Chemical,EMN,Materials
Eaton Corporation,ETN,Industrials
eBay Inc.,EBAY,Information Technology
Ecolab Inc.,ECL,Materials
Edison Int'l,EIX,Utilities
Edwards Lifesciences,EW,Health Care
Electronic Arts,EA,Information Technology
Emerson Electric Company,EMR,Industrials
Entergy Corp.,ETR,Utilities
Envision Healthcare,EVHC,Health Care
EOG Resources,EOG,Energy
EQT Corporation,EQT,Energy
Equifax Inc.,EFX,Industrials
Equinix,EQIX,Real Estate
Equity Residential,EQR,Real Estate
Essex Property Trust, Inc.,ESS,Real Estate
Estee Lauder Cos.,EL,Consumer Staples
Everest Re Group Ltd.,RE,Financials
Eversource Energy,ES,Utilities
Exelon Corp.,EXC,Utilities
Expedia Inc.,EXPE,Consumer Discretionary
Expeditors International,EXPD,Industrials
Express Scripts,ESRX,Health Care
Extra Space Storage,EXR,Real Estate
Exxon Mobil Corp.,XOM,Energy
F5 Networks,FFIV,Information Technology
Facebook, Inc.,FB,Information Technology
Fastenal Co,FAST,Industrials
Federal Realty Investment Trust,FRT,Real Estate
FedEx Corporation,FDX,Industrials
Fidelity National Information Services,FIS,Information Technology
Fifth Third Bancorp,FITB,Financials
FirstEnergy Corp,FE,Utilities
Fiserv Inc,FISV,Information Technology
FLIR Systems,FLIR,Information Technology
Flowserve Corporation,FLS,Industrials
Fluor Corp.,FLR,Industrials
FMC Corporation,FMC,Materials
Foot Locker Inc,FL,Consumer Discretionary
Ford Motor,F,Consumer Discretionary
Fortive Corp,FTV,Industrials
Fortune Brands Home & Security,FBHS,Industrials
Franklin Resources,BEN,Financials
Freeport-McMoRan Inc.,FCX,Materials
Gap Inc.,GPS,Consumer Discretionary
Garmin Ltd.,GRMN,Consumer Discretionary
Gartner Inc,IT,Information Technology
General Dynamics,GD,Industrials
General Electric,GE,Industrials
General Growth Properties Inc.,GGP,Real Estate
General Mills,GIS,Consumer Staples
General Motors,GM,Consumer Discretionary
Genuine Parts,GPC,Consumer Discretionary
Gilead Sciences,GILD,Health Care
Global Payments Inc.,GPN,Information Technology
Goldman Sachs Group,GS,Financials
Goodyear Tire & Rubber,GT,Consumer Discretionary
Grainger (W.W.) Inc.,GWW,Industrials
Halliburton Co.,HAL,Energy
Hanesbrands Inc,HBI,Consumer Discretionary
Harley-Davidson,HOG,Consumer Discretionary
Harris Corporation,HRS,Information Technology
Hartford Financial Svc.Gp.,HIG,Financials
Hasbro Inc.,HAS,Consumer Discretionary
HCA Holdings,HCA,Health Care
HCP Inc.,HCP,Real Estate
Helmerich & Payne,HP,Energy
Henry Schein,HSIC,Health Care
Hess Corporation,HES,Energy
Hewlett Packard Enterprise,HPE,Information Technology
Hilton Worldwide Holdings Inc,HLT,Consumer Discretionary
Hologic,HOLX,Health Care
Home Depot,HD,Consumer Discretionary
Honeywell Int'l Inc.,HON,Industrials
Hormel Foods Corp.,HRL,Consumer Staples
Host Hotels & Resorts,HST,Real Estate
HP Inc.,HPQ,Information Technology
Humana Inc.,HUM,Health Care
Huntington Bancshares,HBAN,Financials
Huntington Ingalls Industries,HII,Industrials
IDEXX Laboratories,IDXX,Health Care
IHS Markit Ltd.,INFO,Industrials
Illinois Tool Works,ITW,Industrials
Illumina Inc,ILMN,Health Care
Incyte,INCY,Health Care
Ingersoll-Rand PLC,IR,Industrials
Intel Corp.,INTC,Information Technology
Intercontinental Exchange,ICE,Financials
International Business Machines,IBM,Information Technology
International Paper,IP,Materials
Interpublic Group,IPG,Consumer Discretionary
Intl Flavors & Fragrances,IFF,Materials
Intuit Inc.,INTU,Information Technology
Intuitive Surgical Inc.,ISRG,Health Care
Invesco Ltd.,IVZ,Financials
IPG Photonics Corp.,IPGP,Information Technology
IQVIA Holdings Inc.,IQV,Health Care
Iron Mountain Incorporated,IRM,Real Estate
J. B. Hunt Transport Services,JBHT,Industrials
Jacobs Engineering Group,JEC,Industrials
JM Smucker,SJM,Consumer Staples
Johnson & Johnson,JNJ,Health Care
Johnson Controls International,JCI,Industrials
JPMorgan Chase & Co.,JPM,Financials
Juniper Networks,JNPR,Information Technology
Kansas City Southern,KSU,Industrials
Kellogg Co.,K,Consumer Staples
KeyCorp,KEY,Financials
Kimberly-Clark,KMB,Consumer Staples
Kimco Realty,KIM,Real Estate
Kinder Morgan,KMI,Energy
KLA-Tencor Corp.,KLAC,Information Technology
Kohl's Corp.,KSS,Consumer Discretionary
Kraft Heinz Co,KHC,Consumer Staples
Kroger Co.,KR,Consumer Staples
L Brands Inc.,LB,Consumer Discretionary
L-3 Communications Holdings,LLL,Industrials
Laboratory Corp. of America Holding,LH,Health Care
Lam Research,LRCX,Information Technology
Leggett & Platt,LEG,Consumer Discretionary
Lennar Corp.,LEN,Consumer Discretionary
Leucadia National Corp.,LUK,Financials
Lilly (Eli) & Co.,LLY,Health Care
Lincoln National,LNC,Financials
LKQ Corporation,LKQ,Consumer Discretionary
Lockheed Martin Corp.,LMT,Industrials
Loews Corp.,L,Financials
Lowe's Cos.,LOW,Consumer Discretionary
LyondellBasell,LYB,Materials
M&T Bank Corp.,MTB,Financials
Macerich,MAC,Real Estate
Macy's Inc.,M,Consumer Discretionary
Marathon Oil Corp.,MRO,Energy
Marathon Petroleum,MPC,Energy
Marriott Int'l.,MAR,Consumer Discretionary
Marsh & McLennan,MMC,Financials
Martin Marietta Materials,MLM,Materials
Masco Corp.,MAS,Industrials
Mastercard Inc.,MA,Information Technology
Mattel Inc.,MAT,Consumer Discretionary
McCormick & Co.,MKC,Consumer Staples
McDonald's Corp.,MCD,Consumer Discretionary
McKesson Corp.,MCK,Health Care
Medtronic plc,MDT,Health Care
Merck & Co.,MRK,Health Care
MetLife Inc.,MET,Financials
Mettler Toledo,MTD,Health Care
MGM Resorts International,MGM,Consumer Discretionary
Michael Kors Holdings,KORS,Consumer Discretionary
Microchip Technology,MCHP,Information Technology
Micron Technology,MU,Information Technology
Microsoft Corp.,MSFT,Information Technology
Mid-America Apartments,MAA,Real Estate
Mohawk Industries,MHK,Consumer Discretionary
Molson Coors Brewing Company,TAP,Consumer Staples
Mondelez International,MDLZ,Consumer Staples
Monsanto Co.,MON,Materials
Monster Beverage,MNST,Consumer Staples
Moody's Corp,MCO,Financials
Morgan Stanley,MS,Financials
Motorola Solutions Inc.,MSI,Information Technology
Mylan N.V.,MYL,Health Care
Nasdaq, Inc.,NDAQ,Financials
National Oilwell Varco Inc.,NOV,Energy
Navient,NAVI,Financials
Nektar Therapeutics,NKTR,Health Care
NetApp,NTAP,Information Technology
Netflix Inc.,NFLX,Information Technology
Newell Brands,NWL,Consumer Discretionary
Newfield Exploration Co,NFX,Energy
Newmont Mining Corporation,NEM,Materials
News Corp. Class A,NWSA,Consumer Discretionary
News Corp. Class B,NWS,Consumer Discretionary
NextEra Energy,NEE,Utilities
Nielsen Holdings,NLSN,Industrials
Nike,NKE,Consumer Discretionary
NiSource Inc.,NI,Utilities
Noble Energy Inc,NBL,Energy
Nordstrom,JWN,Consumer Discretionary
Norfolk Southern Corp.,NSC,Industrials
Northern Trust Corp.,NTRS,Financials
Northrop Grumman Corp.,NOC,Industrials
Norwegian Cruise Line,NCLH,Consumer Discretionary
NRG Energy,NRG,Utilities
Nucor Corp.,NUE,Materials
Nvidia Corporation,NVDA,Information Technology
O'Reilly Automotive,ORLY,Consumer Discretionary
Occidental Petroleum,OXY,Energy
